# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
0	<0.00068228627284163908574277091,0.06525846073648820799828485,0.04035625434031536035162091,387.80899228426113722889568,0.00088949624974722814318983666,0.047988442461000965777451199,0.058359074875879615729168393,385.20131625942946129725897>	0	<>	<0.18708508620464281424489172,0.1312134624121205073166152,0.53120633372225656287923812>	1	3.2313169999999997727968548	3.2314099999999998935606982
1	<0.00087225651357893682971700322,0.084970606977572013529531603,0.041637146105820851960110929,378.13660573593182334661833,0.00081156815812530379121436663,0.055558305599521060069712064,0.037886554984323007888580293,351.51247189450657515408238>	0	<>	<0.25329519027384528317980994,0.12823354384181750997839799,0.25343143591843775297434149>	1	3.2396560000000000911768439	3.2396820000000001726903065
2	<0.00083533436066253788886137865,0.049496544697087516140321384,0.092909770483574724564412861,378.58317425874207629021839,0.00087368410656865885116628689,0.027764894681873222848089711,0.055085402980952248574997299,352.24994274892378598451614>	0	<>	<0.11669068855699571418682581,0.088081733587476396252213817,0.0900844800897753206214702>	1	3.1882320000000001769535629	3.1882589999999999541557827
3	<0.00046927903302445964951739033,0.058627378506878109754030248,0.018476566629706217548267944,335.66187624151905311009614,0.00096762067469191776793169257,0.01857779923294568258373971,0.010765829598887744281143775,364.99069472075939302158076>	0	<>	<0.61409786581896641521893798,0.97587317934076600600690199,0.90197375426755077576501662>	1	3.2306490000000001039381914	3.2306889999999999218971425
4	<0.00079650424453267098384712241,0.041122083939203100955150916,0.03931388325025974433968301,368.60004939539362567302305,0.00083752631644603160038231593,0.087672958168048861771204372,0.040601755841915387890139755,370.97828296990053331683157>	0	<>	<1.8840648167794180611878119,1.8840648167794180611878119,1.8840648167794180611878119>	1	0.01774999999999999841793219	0.017851999999999999813038443
5	<0.00078722772858442167931425359,0.072238901947736230968466487,0.034576285437017816037919005,359.87958863837627632165095,0.00043842272504159376413090943,0.062462840463250346445533978,0.076075506399420789183096758,397.37570860300945696508279>	0	<>	<1.8267727773463910967421953,1.8267727773463910967421953,1.8267727773463910967421953>	1	0.018274999999999999578115251	0.018338999999999997664312801
6	<0.00031523966203222031270264614,0.068985276841086004551151234,0.069089992208913902915767835,388.89237686008789296465693,0.00089694577851190501922851173,0.02417539514795662841661894,0.024325839455391205790046882,336.62248115363644274111721>	0	<>	<0.017826906621461025004293788,0.048381428326380593318845058,0.012094966347100388759372436>	1	3.2095169999999999532747097	3.2095609999999998862563189
7	<0.0007884660176413441513149083,0.032802406085097421395424533,0.025794173793771385527762163,375.6086692007298779572011,0.00054406826358477974447253045,0.026560003392659133070186073,0.023627753571433832147086207,334.05725077914877374496427>	0	<>	<0.13311753956104765972412451,0.050478834313422260571257993,0.14415391506134944688000132>	1	3.162811000000000039023007	3.1628910000000001190301191
8	<0.00067086067957378028945442106,0.052941636821693574543878924,0.064845100266321148430037624,350.83869956938491441178485,0.00053811351626092268629619753,0.095446856108236527438393182,0.089478977592419364772702295,332.53412445193816893151961>	0	<>	<0.47751616219420123243821763,0.36990915527080914237956222,0.85530684894128450324046753>	1	3.1237119999999998221085207	3.1238359999999998350972419
9	<0.00074866700677604744885301757,0.024055262987527654267028154,0.051674773973261374504506449,388.70897321436041238484904,0.00081736302683938443468247836,0.027750280372682158136488084,0.082108876580423151292364992,383.26026888716046414629091>	0	<>	<1.6358814542390778257185957,1.6358814542390778257185957,1.6358814542390778257185957>	1	0.017871999999999998998134743	0.017901000000000000245137244
10	<0.00089683211166264134063530467,0.051198868747427538072880537,0.064196258775981271393895611,379.37778901745463144834503,0.00073068871951228412525702893,0.0785220982313724752410522,0.082000347362831405018113173,351.91547368276656015950721>	0	<>	<0.6200344100864039198484079,0.35232433348704905728965286,0.80244424831158855937474073>	1	3.1763259999999999827480224	3.1763539999999998997282091
11	<0.00031030169991324733696699822,0.09779452115660278166409114,0.096816755135923984743051562,355.43699638239900195912924,0.00041164630172385195325257534,0.020444508665448293815991576,0.04792117492198999517682978,378.25069812976323646580568>	0	<>	<1.2119016887716820285447739,1.2119016887716820285447739,1.2119016887716820285447739>	1	0.01793600000000006300382438	0.018014000000000085499607394
12	<0.00071522557601110350357365153,0.012766275146401615328550783,0.098829225655099953162796567,395.33390925979892926989123,0.00098610213198051894709084131,0.088308203205609794861352668,0.097258900486519056505230196,373.47691387565663490022416>	0	<>	<1.3064011802486692470637308,1.3064011802486692470637308,1.3064011802486692470637308>	1	0.017118999999999998801181178	0.01717199999999999976418863
13	<0.00031838251450955049916269335,0.048933674459780425458621522,0.051381854788112392429244579,383.57455416748979359908844,0.00074087520425248666600115399,0.033490731326626027586357282,0.057359058171212243260050911,363.77073155891650912963087>	0	<>	<0.078342614653855391360082194,0.0014086297976581008128960093,0.018316839896581615931836495>	1	3.1529029999999997890824943	3.1529569999999997875761437
14	<0.00080314133390930542502617051,0.021555316947193502163937495,0.026905240699139069959766601,353.38300530956269085436361,0.00092282434027773528259497304,0.098905588061970473034989482,0.068240901561566119637447514,393.31260405169456362273195>	0	<>	<1.8877515151136616822213909,1.8877515151136616822213909,1.8877515151136616822213909>	1	0.017472999999999998949062885	0.017485999999999998072430785
15	<0.0009743341824851624918130133,0.065057656655580581306352883,0.034106629087639339648063697,338.59804842090142074084724,0.00080946128583022454103246268,0.072027804009629325943109279,0.083091245565140262052672426,352.46868618413282092660666>	0	<>	<1.8939829812616917337209088,1.8939829812616917337209088,1.8939829812616917337209088>	1	0.017270000000000000628386232	0.017327999999999999652944283
16	<0.00080395394931731469119473577,0.081920471178330706019110607,0.032889051243145506209231144,379.00560809718706423154799,0.00076844524488246324436802048,0.030147951687755039640315147,0.038906099637460944684619335,378.68277597179763915846706>	0	<>	<1.353796347888681861348914,1.353796347888681861348914,1.353796347888681861348914>	1	0.017798999999999998850030991	0.017813999999999999973576692
17	<0.00075952375892527582579988321,0.080287954425573321293185813,0.051473710137174340240040493,350.03989628517996379741817,0.00032938977774669866808998631,0.098832768308386567679413304,0.079185092984319235820400706,383.25311119819673422171036>	0	<>	<1.8715147547415440509865903,1.8715147547415440509865903,1.8715147547415440509865903>	1	0.017533999999999997504440685	0.017562999999999998751443187
18	<0.00038079621832854868533624337,0.096090333683458317715064823,0.018532149753781104739580599,330.36205586062840211525327,0.00096107939135333503820335377,0.076773051357256746896062793,0.091867419887272372402975407,393.54135735125345263440977>	0	<>	<1.779512184382780803915125,1.779512184382780803915125,1.779512184382780803915125>	1	0.017381000000000000615951734	0.017399999999999998800959133
19	<0.00054757217310721624601438373,0.025974048933002195915786814,0.012750664522289609226213258,335.70334589374408551520901,0.00090668107844268952012767304,0.085841910129339393797920366,0.046221184100127411797931387,371.06350274340411488083191>	0	<>	<1.8738782111742748881511034,1.8738782111742748881511034,1.8738782111742748881511034>	1	0.017302999999999998936850432	0.017344999999999999307220833
20	<0.00074926296540036001897489015,0.069110235343272916064272238,0.03580314250933153141787102,351.77082102828234155822429,0.00091645256579688406245454146,0.064709242146792467220706158,0.010583196101050450568803463,367.59763247221599158365279>	0	<>	<0.57680840235403008087189392,0.98172090431243830277452389,0.88619466687113324088187483>	1	3.1526070000000001591899945	3.152662999999999993150368
21	<0.00057220041778506731434961186,0.052056906238224787131230187,0.084105394116651910341175835,360.15901955317661986555322,0.00061803080170323644766672277,0.063290487059061650843005964,0.027244168066999023547491987,369.88270203577479833256803>	0	<>	<1.3733612004077073720509361,1.3733612004077073720509361,1.3733612004077073720509361>	1	0.017853000000000000813127343	0.017905000000000000776045894
22	<0.00068407305021959963209354783,0.035776317862689643867213363,0.061743260152518408823141272,364.51524412469717617568676,0.0003198284269402867007955904,0.053610679997881265090864389,0.046072773284312702746223778,356.74006000475031896712608>	0	<>	<1.9647329125375048164414693,1.9647329125375048164414693,1.9647329125375048164414693>	1	0.01775399999999999894884084	0.017801999999999998380850741
23	<0.00076343678057353803016737981,0.048823437848511827552577813,0.051712950440921341688227386,367.01178586902642564382404,0.00049184159505732429323171528,0.087934134541048744604374576,0.020382513930267895374548459,394.11045604576844425537274>	0	<>	<1.6480174449948474801885823,1.6480174449948474801885823,1.6480174449948474801885823>	1	0.017669999999999998208100038	0.01770000000000000045519144
24	<0.00066590065432987205484849369,0.046185656439599424849529186,0.030418784767584312878074826,358.23532201267562413704582,0.00030696032201264067526200185,0.031001980868634759769264519,0.094642370052003488289926736,357.9160739797707719844766>	0	<>	<1.8742330217933358404991395,1.8742330217933358404991395,1.8742330217933358404991395>	1	0.017653999999999999553912389	0.017710999999999997578381539
25	<0.00079045801083112978910327762,0.078747764126745875556956378,0.084667977441413327932551169,340.84888125343661613442237,0.00054918639811183625910190331,0.011912145466502824936450011,0.075226321371843263285938974,393.32594483314358058123617>	0	<>	<1.5628977220573880835274849,1.5628977220573880835274849,1.5628977220573880835274849>	1	0.017360999999999997961408482	0.017382999999999999146682583
26	<0.00051535471478260808791960201,0.036969581482452149034934052,0.045795814332457177031621143,353.51831417228947884723311,0.00084895758929148215816973266,0.081868587616769877834954627,0.074617909698103515592215729,361.23943695390568109360174>	0	<>	<1.5598268820242959797894855,1.5598268820242959797894855,1.5598268820242959797894855>	1	0.017146999999999999048094779	0.017160999999999999171551579
27	<0.00082286103771667053370653111,0.067334711964863680488946329,0.037115288799216647475098796,387.80899228426113722889568,0.00088378061332450286429612829,0.050890627736640457745576072,0.058359074875879615729168393,385.20131625942946129725897>	0	<>	<1.4848561573880596498042905,1.4848561573880596498042905,1.4848561573880596498042905>	1	0.017905000000000000776045894	0.017960999999999997800426144
28	<0.00087225651357893682971700322,0.084970606977572013529531603,0.041637146105820851960110929,378.13660573593182334661833,0.00098193688626956997927974768,0.055558305599521060069712064,0.021229146815011819271479254,403.29850729242832585441647>	3.298507292428325854416471	<>	<1.1814658489634972671211699,1.1814658489634972671211699,1.1814658489634972671211699>	1	0.017846000000000000751398943	0.017916999999999998899324893
29	<0.00074378304693092749111382744,0.049496544697087516140321384,0.043273256138560020622740865,400.9918846380858781230927,0.00083705404591143800756974924,0.027764894681873222848089711,0.072010754317515898725865497,377.15873597057475308247376>	0.99188463808587812309269793	<>	<0.34371775636001289377929879,0.13501138498108322671953374,0.26635600549541738057968132>	1	3.152388999999999885659463	3.1524630000000000151771928
30	<0.0006896711597403843221898434,0.077642548166980296375783155,0.018476566629706217548267944,335.66187624151905311009614,0.00096762067469191776793169257,0.01857779923294568258373971,0.027495893550801987770260126,364.99069472075939302158076>	0	<>	<1.6989800277901174752059887,1.6989800277901174752059887,1.6989800277901174752059887>	1	0.018054999999999998133715096	0.018073999999999999788169447
31	<0.00079650424453267098384712241,0.079032908426147380209769722,0.03931388325025974433968301,368.54453840225210115022492,0.00079874508904700415590216522,0.087672958168048861771204372,0.054972061880385544863081293,405.90655183461797150812345>	5.9065518346179715081234463	<>	<1.5925989585566089346002627,1.5925989585566089346002627,1.5925989585566089346002627>	1	0.017905000000000000776045894	0.017965999999999999331423695
32	<0.00078722772858442167931425359,0.068194085635800885669688398,0.034576285437017816037919005,388.77084105451160667143995,0.0010450314895925261107073601,0.062462840463250346445533978,0.02465997388337738682739797,391.18463028743144604959525>	4.5031489592526089890678342e-05	<>	<0.086211155990713939090142048,0.25198188243484109793968173,0.44439255979536662621853793>	1	3.1581589999999999385238425	3.1582259999999999777742232
33	<0.00086008575004995141757846433,0.039454028377986533060450824,0.0071572691561455278885794939,388.89237686008789296465693,0.00083715325989162253129960423,0.053267178562594198754087671,0.081719672440886362285716871,375.03400418443322905659443>	0.0028427308438544723195873232	<>	<1.6390294421563089688476111,1.6390294421563089688476111,1.6390294421563089688476111>	1	0.018012000000000000232702746	0.018055999999999999133803996
34	<0.00072143284288301743820137624,0.032802406085097421395424533,0.037493303286607056190593568,375.6086692007298779572011,0.00085902645162261401928782689,0.081620497909197814445647623,0.023627753571433832147086207,388.23772027075182222688454>	0	<>	<1.4990691997693237347277773,1.4990691997693237347277773,1.4990691997693237347277773>	1	0.017898999999999998244959443	0.017922000000000000430322444
35	<0.00072103730825289966133162523,0.052941636821693574543878924,0.025311439496144394478704953,367.41912198598453187514679,0.00053811351626092268629619753,0.095446856108236527438393182,0.058904523977034044246448019,385.47792251011259168080869>	0	<>	<1.9049950511887328019611232,1.9049950511887328019611232,1.9049950511887328019611232>	1	0.017922000000000000430322444	0.017981000000000000454969395
36	<0.00074866700677604744885301757,0.023596431467959859407113044,0.051674773973261374504506449,420.29491898384640080621466,0.00081736302683938443468247836,0.053756018385177489760096137,0.061054815175502957780295787,383.26026888716046414629091>	20.29491898384640080621466	<>	<0.78749281012322558392924066,0.52342230762221686468649295,0.86264629827733663169908596>	1	3.1517810000000001657838311	3.1518310000000000492548224
37	<0.00066287121477670563323564279,0.051198868747427538072880537,0.013558310723657870239255985,382.81742985258688349858858,0.00087141735468591451779785118,0.07794247420408878523900853,0.051117251306361188856186573,351.91547368276656015950721>	0	<>	<0.73368635621264888246884084,0.49118343831617705674830177,0.88729606440960628876979399>	1	3.1561849999999997962163434	3.1562470000000000247553089
38	<0.00031030169991324733696699822,0.047972402976812981989507279,0.056955358012092935360293211,414.33254077068181686627213,0.00041164630172385195325257534,0.020444508665448293815991576,0.094030598366647316632693787,378.25069812976323646580568>	14.332540770681816866272129	<>	<0.33013996062126338415509963,0.11952888319808796513399329,0.25796272050702317990555912>	1	3.1412179999999998436521764	3.1412599999999999411670615
39	<0.00071522557601110350357365153,0.08465093600547450580773301,0.045965435009433633362085914,397.7596341458892084119725,0.001141800167803559782481182,0.088308203205609794861352668,0.097258900486519056505230196,381.99951521679736288206186>	0.00014180016780355976166450027	<>	<0.31202182851171134103651639,0.14869343997371309296084974,0.21921065517733429039992643>	1	3.1500289999999999679403118	3.1501549999999998163957571
40	<0.00031838251450955049916269335,0.076658270937231501318542826,0.051381854788112392429244579,403.13751970796727164270123,0.00074087520425248666600115399,0.033490731326626027586357282,0.023200809577573477948675418,374.55451984636226825386984>	3.1375197079672716427012347	<>	<0.089306944362048001906373429,0.021923275717419810071362463,0.05698509242173699362865591>	1	3.1484510000000001106457148	3.1484879999999999533599748
41	<0.00057910834321710669830851614,0.021555316947193502163937495,0.034747073671197087341155907,353.38300530956269085436361,0.00063719233169089661231870858,0.098905588061970473034989482,0.086736982409719859399288566,388.40311730206155971245607>	0	<>	<1.8847903786681658999668798,1.8847903786681658999668798,1.8847903786681658999668798>	1	0.017621999999999998776090138	0.017690999999999998393285239
42	<0.0009743341824851624918130133,0.065057656655580581306352883,0.032420438608350435338856244,338.59804842090142074084724,0.00093904101922597795707586821,0.066467923348056123789007188,0.02259623463619326450002589,377.36999805195722501593991>	0	<>	<1.8282555379930105488028858,1.8282555379930105488028858,1.8282555379930105488028858>	1	0.017287000000000000282662782	0.017344999999999999307220833
43	<0.00080675230855436650886924888,0.0728324782395886605179669,0.032889051243145506209231144,379.00560809718706423154799,0.00076844524488246324436802048,0.048903966480355699764093202,0.038906099637460944684619335,378.68277597179763915846706>	0	<>	<1.8063380928149956883288496,1.8063380928149956883288496,1.8063380928149956883288496>	1	0.017778999999999999664934691	0.017828000000000000097033492
44	<0.00075952375892527582579988321,0.049188133806077824483615757,0.045352590251878183158495972,388.68273885626467745169066,0.00032938977774669866808998631,0.098832768308386567679413304,0.090376431674406149108236264,383.25311119819673422171036>	0	<>	<1.9338148497255800428717976,1.9338148497255800428717976,1.9338148497255800428717976>	1	0.017475999999999998479882635	0.017544000000000000566435787
45	<0.00038079621832854868533624337,0.096090333683458317715064823,0.018532149753781104739580599,383.26986841311202169890748,0.00096107939135333503820335377,0.031405356794784483609461745,0.091867419887272372402975407,395.95663532193589162488934>	0	<>	<0.54873118697595268944411373,0.6668713161531170108276001,0.72309075937093802988187008>	1	3.1463869999999998228190634	3.1464490000000000513580289
46	<0.00054757217310721624601438373,0.055822460628497633239319953,0.039355427419932295651783249,397.62762908014826734870439,0.00057345590114055947517784917,0.030255471221290283767579865,0.046221184100127411797931387,375.47435422333626320323674>	0	<>	<0.3047176120105278274152738,0.10234266902610422711461524,0.21109629709326249713541301>	1	3.1530339999999998923385647	3.1530569999999999986073362
47	<0.00074926296540036001897489015,0.069110235343272916064272238,0.03580314250933153141787102,351.77082102828234155822429,0.00093903565746221505199098356,0.064709242146792467220706158,0.056988077284529863042461528,413.1358126844911566877272>	13.135812684491156687727198	<>	<1.5980565477978005972659048,1.5980565477978005972659048,1.5980565477978005972659048>	1	0.017915000000000000368594044	0.017950999999999998207877994
48	<0.00067826715939597566947666385,0.06109862180943537168786861,0.084105394116651910341175835,360.15901955317661986555322,0.00061803080170323644766672277,0.063290487059061650843005964,0.027244168066999023547491987,366.74080016405355308961589>	0	<>	<1.4219496084172689176483573,1.4219496084172689176483573,1.4219496084172689176483573>	1	0.018037999999999998479438545	0.018051999999999998602895346
49	<0.00094076219591813278059211356,0.035776317862689643867213363,0.061743260152518408823141272,385.31330232988727857446065,0.00095590070090531423577240311,0.053610679997881265090864389,0.057222247280749621856088538,356.74006000475031896712608>	0	<>	<0.42369079632006556579426615,0.19319915930558551053763949,0.46899828141248578461386387>	1	3.1515219999999999345163815	3.1515439999999999010071861
50	<0.00070450136803765846423008856,0.066074719112866900361247247,0.051712950440921341688227386,367.01178586902642564382404,0.00049184159505732429323171528,0.087934134541048744604374576,0.020382513930267895374548459,382.91614864622988534392789>	0	<>	<1.543774804900101660365408,1.543774804900101660365408,1.543774804900101660365408>	1	0.017694999999999998924193889	0.017721999999999998171018589
51	<0.00066590065432987205484849369,0.070139704379318143501187421,0.048145246956565072860012577,363.78724448093549881377839,0.00071561655954719381733664108,0.031001980868634759769264519,0.094642370052003488289926736,357.9160739797707719844766>	0	<>	<0.13078701914431545283434843,0.038407955801186832722748932,0.56118552162654566917154852>	1	3.1406290000000001150226581	3.1406770000000001630269253
52	<0.00053571218766072402003852737,0.033550815721298948846040844,0.036911218123003478042143399,340.84888125343661613442237,0.00054918639811183625910190331,0.011912145466502824936450011,0.082784288588578044953969481,393.32594483314358058123617>	0	<>	<1.6114458664773214646714905,1.6114458664773214646714905,1.6114458664773214646714905>	1	0.017339000000000000245581333	0.017388999999999998208322083
53	<0.00056951796288812444723353989,0.05375343937834418939214487,0.045795814332457177031621143,353.51831417228947884723311,0.00090459696528483049884905576,0.081868587616769877834954627,0.074617909698103515592215729,393.56974319488261926380801>	0	<>	<1.5520936834116625391288835,1.5520936834116625391288835,1.5520936834116625391288835>	1	0.017790000000000000257571742	0.017870000000000000467403893
54	<0.00089303608478188349194953899,0.06525846073648820799828485,0.096706779683803575919931461,387.80899228426113722889568,0.00080668600085502778062468421,0.12394393368574974090279284,0.12983546955503313946600485,385.20131625942946129725897>	0.053779403240782869266567445	<>	<1.7377669114271416805905801,1.7377669114271416805905801,1.7377669114271416805905801>	1	0.017797000000000000319300142	0.017880999999999997590593992
55	<0.00082227823902958927047152082,0.070499889154685607683958892,0.041637146105820851960110929,378.13660573593182334661833,0.0008639121952997112904512611,0.071054163917924351157040519,0.037886554984323007888580293,386.50478513515776057829498>	0	<>	<1.5455127911838382193110419,1.5455127911838382193110419,1.5455127911838382193110419>	1	0.017885999999999999121591543	0.017950000000000000677236045
