# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
0	<0.000682286,0.0652585,0.0403563,387.809,0.000889496,0.0479884,0.0583591,385.201>	0	<>	<0.187085,0.131213,0.531206>
0	<0.000872257,0.0849706,0.0416371,378.137,0.000811568,0.0555583,0.0378866,351.512>	0	<>	<0.253295,0.128234,0.253431>
0	<0.000835334,0.0494965,0.0929098,378.583,0.000873684,0.0277649,0.0550854,352.25>	0	<>	<0.116691,0.0880817,0.0900845>
0	<0.000469279,0.0586274,0.0184766,335.662,0.000967621,0.0185778,0.0107658,364.991>	0	<>	<0.614098,0.975873,0.901974>
0	<0.000796504,0.0411221,0.0393139,368.6,0.000837526,0.087673,0.0406018,370.978>	0	<>	<1.88406,1.88406,1.88406>
0	<0.000787228,0.0722389,0.0345763,359.88,0.000438423,0.0624628,0.0760755,397.376>	0	<>	<1.82677,1.82677,1.82677>
0	<0.00031524,0.0689853,0.06909,388.892,0.000896946,0.0241754,0.0243258,336.622>	0	<>	<0.0178269,0.0483814,0.012095>
0	<0.000788466,0.0328024,0.0257942,375.609,0.000544068,0.02656,0.0236278,334.057>	0	<>	<0.133118,0.0504788,0.144154>
0	<0.000670861,0.0529416,0.0648451,350.839,0.000538114,0.0954469,0.089479,332.534>	0	<>	<0.477516,0.369909,0.855307>
0	<0.000748667,0.0240553,0.0516748,388.709,0.000817363,0.0277503,0.0821089,383.26>	0	<>	<1.63588,1.63588,1.63588>
0	<0.000896832,0.0511989,0.0641963,379.378,0.000730689,0.0785221,0.0820003,351.915>	0	<>	<0.620034,0.352324,0.802444>
0	<0.000310302,0.0977945,0.0968168,355.437,0.000411646,0.0204445,0.0479212,378.251>	0	<>	<1.2119,1.2119,1.2119>
0	<0.000715226,0.0127663,0.0988292,395.334,0.000986102,0.0883082,0.0972589,373.477>	0	<>	<1.3064,1.3064,1.3064>
0	<0.000318383,0.0489337,0.0513819,383.575,0.000740875,0.0334907,0.0573591,363.771>	0	<>	<0.0783426,0.00140863,0.0183168>
0	<0.000803141,0.0215553,0.0269052,353.383,0.000922824,0.0989056,0.0682409,393.313>	0	<>	<1.88775,1.88775,1.88775>
0	<0.000974334,0.0650577,0.0341066,338.598,0.000809461,0.0720278,0.0830912,352.469>	0	<>	<1.89398,1.89398,1.89398>
0	<0.000803954,0.0819205,0.0328891,379.006,0.000768445,0.030148,0.0389061,378.683>	0	<>	<1.3538,1.3538,1.3538>
0	<0.000759524,0.080288,0.0514737,350.04,0.00032939,0.0988328,0.0791851,383.253>	0	<>	<1.87151,1.87151,1.87151>
0	<0.000380796,0.0960903,0.0185321,330.362,0.000961079,0.0767731,0.0918674,393.541>	0	<>	<1.77951,1.77951,1.77951>
0	<0.000547572,0.025974,0.0127507,335.703,0.000906681,0.0858419,0.0462212,371.064>	0	<>	<1.87388,1.87388,1.87388>
0	<0.000749263,0.0691102,0.0358031,351.771,0.000916453,0.0647092,0.0105832,367.598>	0	<>	<0.576808,0.981721,0.886195>
0	<0.0005722,0.0520569,0.0841054,360.159,0.000618031,0.0632905,0.0272442,369.883>	0	<>	<1.37336,1.37336,1.37336>
0	<0.000684073,0.0357763,0.0617433,364.515,0.000319828,0.0536107,0.0460728,356.74>	0	<>	<1.96473,1.96473,1.96473>
0	<0.000763437,0.0488234,0.051713,367.012,0.000491842,0.0879341,0.0203825,394.11>	0	<>	<1.64802,1.64802,1.64802>
0	<0.000665901,0.0461857,0.0304188,358.235,0.00030696,0.031002,0.0946424,357.916>	0	<>	<1.87423,1.87423,1.87423>
0	<0.000790458,0.0787478,0.084668,340.849,0.000549186,0.0119121,0.0752263,393.326>	0	<>	<1.5629,1.5629,1.5629>
0	<0.000515355,0.0369696,0.0457958,353.518,0.000848958,0.0818686,0.0746179,361.239>	0	<>	<1.55983,1.55983,1.55983>
1	<0.000682286,0.0652585,0.0403563,387.809,0.000889496,0.0479884,0.0583591,385.201>	0	<>	<0.187085,0.131213,0.531206>
1	<0.000872257,0.0849706,0.0416371,378.137,0.000811568,0.0555583,0.0378866,351.512>	0	<>	<0.253295,0.128234,0.253431>
1	<0.000835334,0.0494965,0.0929098,378.583,0.000873684,0.0277649,0.0550854,352.25>	0	<>	<0.116691,0.0880817,0.0900845>
1	<0.000469279,0.0586274,0.0184766,335.662,0.000967621,0.0185778,0.0107658,364.991>	0	<>	<0.614098,0.975873,0.901974>
1	<0.000796504,0.0411221,0.0393139,368.6,0.000837526,0.087673,0.0406018,370.978>	0	<>	<1.88406,1.88406,1.88406>
1	<0.000787228,0.0722389,0.0345763,359.88,0.000438423,0.0624628,0.0760755,397.376>	0	<>	<1.82677,1.82677,1.82677>
1	<0.00031524,0.0689853,0.06909,388.892,0.000896946,0.0241754,0.0243258,336.622>	0	<>	<0.0178269,0.0483814,0.012095>
1	<0.000788466,0.0328024,0.0257942,375.609,0.000544068,0.02656,0.0236278,334.057>	0	<>	<0.133118,0.0504788,0.144154>
1	<0.000670861,0.0529416,0.0648451,350.839,0.000538114,0.0954469,0.089479,332.534>	0	<>	<0.477516,0.369909,0.855307>
1	<0.000748667,0.0240553,0.0516748,388.709,0.000817363,0.0277503,0.0821089,383.26>	0	<>	<1.63588,1.63588,1.63588>
1	<0.000896832,0.0511989,0.0641963,379.378,0.000730689,0.0785221,0.0820003,351.915>	0	<>	<0.620034,0.352324,0.802444>
1	<0.000310302,0.0977945,0.0968168,355.437,0.000411646,0.0204445,0.0479212,378.251>	0	<>	<1.2119,1.2119,1.2119>
1	<0.000715226,0.0127663,0.0988292,395.334,0.000986102,0.0883082,0.0972589,373.477>	0	<>	<1.3064,1.3064,1.3064>
1	<0.000318383,0.0489337,0.0513819,383.575,0.000740875,0.0334907,0.0573591,363.771>	0	<>	<0.0783426,0.00140863,0.0183168>
1	<0.000579108,0.0215553,0.0347471,353.383,0.000637192,0.0989056,0.086737,388.403>	0	<>	<1.88479,1.88479,1.88479>
1	<0.000974334,0.0650577,0.0324204,338.598,0.000939041,0.0664679,0.0225962,377.37>	0	<>	<1.82826,1.82826,1.82826>
1	<0.000803954,0.0819205,0.0328891,379.006,0.000768445,0.030148,0.0389061,378.683>	0	<>	<1.3538,1.3538,1.3538>
1	<0.000759524,0.080288,0.0514737,350.04,0.00032939,0.0988328,0.0791851,383.253>	0	<>	<1.87151,1.87151,1.87151>
1	<0.000380796,0.0960903,0.0185321,383.27,0.000961079,0.0314054,0.0918674,395.957>	0	<>	<0.548731,0.666871,0.723091>
1	<0.000547572,0.0558225,0.0393554,397.628,0.000573456,0.0302555,0.0462212,375.474>	0	<>	<0.304718,0.102343,0.211096>
1	<0.000749263,0.0691102,0.0358031,351.771,0.000916453,0.0647092,0.0105832,367.598>	0	<>	<0.576808,0.981721,0.886195>
1	<0.0005722,0.0520569,0.0841054,360.159,0.000618031,0.0632905,0.0272442,369.883>	0	<>	<1.37336,1.37336,1.37336>
1	<0.000940762,0.0357763,0.0617433,385.313,0.000955901,0.0536107,0.0572222,356.74>	0	<>	<0.423691,0.193199,0.468998>
1	<0.000704501,0.0660747,0.051713,367.012,0.000491842,0.0879341,0.0203825,382.916>	0	<>	<1.54377,1.54377,1.54377>
1	<0.000665901,0.0701397,0.0481452,363.787,0.000715617,0.031002,0.0946424,357.916>	0	<>	<0.130787,0.038408,0.561186>
1	<0.000790458,0.0787478,0.084668,340.849,0.000549186,0.0119121,0.0752263,393.326>	0	<>	<1.5629,1.5629,1.5629>
1	<0.000569518,0.0537534,0.0457958,353.518,0.000904597,0.0818686,0.0746179,393.57>	0	<>	<1.55209,1.55209,1.55209>
2	<0.00031524,0.0689853,0.06909,388.892,0.000896946,0.0241754,0.0243258,336.622>	0	<>	<0.0178269,0.0483814,0.012095>
2	<0.000318383,0.0489337,0.0513819,383.575,0.000740875,0.0334907,0.0573591,363.771>	0	<>	<0.0783426,0.00140863,0.0183168>
2	<0.000665901,0.0701397,0.0481452,363.787,0.000715617,0.031002,0.0946424,357.916>	0	<>	<0.130787,0.038408,0.561186>
2	<0.000835334,0.0494965,0.0929098,378.583,0.000873684,0.0277649,0.0550854,352.25>	0	<>	<0.116691,0.0880817,0.0900845>
2	<0.000788466,0.0328024,0.0257942,375.609,0.000544068,0.02656,0.0236278,334.057>	0	<>	<0.133118,0.0504788,0.144154>
2	<0.000835334,0.0494965,0.0929098,381.097,0.00088941,0.0277649,0.0306469,352.25>	0	<>	<0.088943,0.144123,0.127512>
2	<0.000547572,0.0558225,0.0393554,397.628,0.000573456,0.0302555,0.0462212,375.474>	0	<>	<0.304718,0.102343,0.211096>
2	<0.000872257,0.0849706,0.0416371,378.137,0.000811568,0.0555583,0.0378866,351.512>	0	<>	<0.253295,0.128234,0.253431>
2	<0.000682286,0.0652585,0.0403563,387.809,0.000889496,0.0479884,0.0583591,385.201>	0	<>	<0.187085,0.131213,0.531206>
2	<0.000940762,0.0357763,0.0617433,385.313,0.000955901,0.0536107,0.0572222,356.74>	0	<>	<0.423691,0.193199,0.468998>
2	<0.000714516,0.0511989,0.0473007,389.143,0.000730689,0.0150451,0.0826186,396.845>	0	<>	<0.20455,0.511744,0.621796>
2	<0.000670861,0.0529416,0.0648451,350.839,0.000538114,0.0954469,0.089479,332.534>	0	<>	<0.477516,0.369909,0.855307>
2	<0.000896832,0.0511989,0.0641963,379.378,0.000730689,0.0785221,0.0820003,351.915>	0	<>	<0.620034,0.352324,0.802444>
2	<0.000380796,0.0960903,0.0185321,383.27,0.000961079,0.0314054,0.0918674,395.957>	0	<>	<0.548731,0.666871,0.723091>
2	<0.000749263,0.0691102,0.0358031,351.771,0.000916453,0.0647092,0.0105832,367.598>	0	<>	<0.576808,0.981721,0.886195>
2	<0.000469279,0.0586274,0.0184766,335.662,0.000967621,0.0185778,0.0107658,364.991>	0	<>	<0.614098,0.975873,0.901974>
2	<0.000310302,0.0977945,0.0968168,355.437,0.000411646,0.0204445,0.0479212,378.251>	0	<>	<1.2119,1.2119,1.2119>
2	<0.000715226,0.0127663,0.0988292,395.334,0.000986102,0.0883082,0.0972589,373.477>	0	<>	<1.3064,1.3064,1.3064>
2	<0.000803954,0.0819205,0.0328891,379.006,0.000768445,0.030148,0.0389061,378.683>	0	<>	<1.3538,1.3538,1.3538>
2	<0.0005722,0.0520569,0.0841054,360.159,0.000618031,0.0632905,0.0272442,369.883>	0	<>	<1.37336,1.37336,1.37336>
2	<0.000704501,0.0660747,0.051713,367.012,0.000491842,0.0879341,0.0203825,382.916>	0	<>	<1.54377,1.54377,1.54377>
2	<0.000569518,0.0537534,0.0457958,353.518,0.000904597,0.0818686,0.0746179,393.57>	0	<>	<1.55209,1.55209,1.55209>
2	<0.000790458,0.0787478,0.084668,340.849,0.000549186,0.0119121,0.0752263,393.326>	0	<>	<1.5629,1.5629,1.5629>
2	<0.00066695,0.0722389,0.0345763,359.88,0.000861057,0.0985931,0.0779331,369.032>	0	<>	<1.62221,1.62221,1.62221>
2	<0.000748667,0.0240553,0.0516748,388.709,0.000817363,0.0277503,0.0821089,383.26>	0	<>	<1.63588,1.63588,1.63588>
2	<0.000934814,0.0684736,0.0473282,389.277,0.000875206,0.0719335,0.0642743,391.391>	0	<>	<1.71795,1.71795,1.71795>
2	<0.000974334,0.0650577,0.0324204,338.598,0.000939041,0.0664679,0.0225962,377.37>	0	<>	<1.82826,1.82826,1.82826>
3	<0.000318383,0.0489337,0.0513819,383.575,0.000740875,0.0334907,0.0573591,363.771>	0	<>	<0.0783426,0.00140863,0.0183168>
3	<0.00031524,0.0689853,0.06909,388.892,0.000896946,0.0241754,0.0243258,336.622>	0	<>	<0.0178269,0.0483814,0.012095>
3	<0.00073186,0.0683275,0.0257942,375.609,0.000544068,0.02656,0.0236278,334.057>	0	<>	<0.0647498,0.045688,0.0538032>
3	<0.000665901,0.0701397,0.0481452,363.787,0.000715617,0.031002,0.0946424,357.916>	0	<>	<0.130787,0.038408,0.561186>
3	<0.000318383,0.0469198,0.0513819,384.373,0.000740875,0.0334907,0.0217681,368.915>	0	<>	<0.0374194,0.120473,0.0827595>
3	<0.000665901,0.0701397,0.0481452,364.339,0.000605514,0.031002,0.0595927,344.395>	0	<>	<0.127582,0.0755603,0.100791>
3	<0.000835334,0.0494965,0.0929098,378.583,0.000873684,0.0277649,0.0550854,352.25>	0	<>	<0.116691,0.0880817,0.0900845>
